"run"	"sample"	"sample_type"	"habitat"	"mock_type"	"marker"
"Arm01"	"Mar1_1"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar1_2"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Tpos_Ali3a_Arm01"	"mock"	"terrestrial"	"Ali3"	"IIICBR"
"Arm01"	"Mar2_1_1T"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar2_1_2T"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar2_1_3T"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar2_1_4T"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar2_1_5T"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar2_1_6T"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar2_1_7T"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar2_1_8T"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar2_1_9T"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar2_1_2B"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar2_1_3B"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar2_1_5B"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar2_1_6B"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar2_1_7B"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar2_1_8B"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar2_1_9B"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar2_1_500"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar2_1_100"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar2_2"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Tpos_Ali3b_Arm01"	"mock"	"terrestrial"	"Ali3"	"IIICBR"
"Arm01"	"Mar2_3_500"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar2_3_100"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar3_1_500"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Tpos_Mar3a_Arm01"	"mock"	"marin"	"Mar3"	"IIICBR"
"Arm01"	"Mar3_1_100"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar3_2"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar3_2_500"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar3_3_T1a"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar3_3_T1b"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar3_3_T2"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar3_3_T3"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar3_3_T4"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar3_3_T5"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar3_3_T6"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar3_3_T7"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar3_3_T8"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar3_3_T9"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar3_3_B2"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar3_3_B3"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar3_3_B4"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar3_3_B5"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar3_3_B6"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar3_3_B7"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Tpos_Mar3b_Arm01"	"mock"	"marin"	"Mar3"	"IIICBR"
"Arm01"	"Mar3_3_B8"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar3_3_B9"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Tpos_Ali3c_Arm01"	"mock"	"terrestrial"	"Ali3"	"IIICBR"
"Arm01"	"Mar3_3_500"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar3_3_100"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar4_1_T1"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar4_1_T2"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar4_1_T3"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar4_1_T4"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar4_1_T5"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar4_1_T6"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar4_1_T7"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar4_1_T8"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Tpos_Ali3d_Arm01"	"mock"	"terrestrial"	"Ali3"	"IIICBR"
"Arm01"	"Mar4_1_T9"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar4_1_B2"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar4_1_B3"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar4_1_B4"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar4_1_B5"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar4_1_B6"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar4_1_B7"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar4_1_B8"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar4_1_B9"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar4_1_500"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Tpos_Ali3e_Arm01"	"mock"	"terrestrial"	"Ali3"	"IIICBR"
"Arm01"	"Mar4_1_100"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar4_2"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar4_2_500"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Tpos_Ali3f_Arm01"	"mock"	"terrestrial"	"Ali3"	"IIICBR"
"Arm01"	"Mar4_2_100"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar4_3_500"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar4_3_100"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar4_3"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar1_3_500"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar1_3_100"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar1_3_101"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar1_3_102"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar1_3_103"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar1_3_pool"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Mar3_2_100"	"real"	"marin"	"NA"	"IIICBR"
"Arm01"	"Tneg_pcr_Arm01"	"negatif"	"NA"	"NA"	"IIICBR"
"Arm01"	"Tneg_ext_ES01_Arm01"	"negatif"	"NA"	"NA"	"IIICBR"
"Arm01"	"Tneg_pai_ES01_Arm01"	"negatif"	"NA"	"NA"	"IIICBR"
"Arm01"	"Tneg_ext_ES02_Arm01"	"negatif"	"NA"	"NA"	"IIICBR"
"Arm01"	"Tneg_pai_ES02_Arm01"	"negatif"	"NA"	"NA"	"IIICBR"
"Arm01"	"Tneg_ext_ES03_Arm01"	"negatif"	"NA"	"NA"	"IIICBR"
"Arm01"	"Tneg_pai_ES03_Arm01"	"negatif"	"NA"	"NA"	"IIICBR"
"Arm01"	"Tneg_ext_ES04_Arm01"	"negatif"	"NA"	"NA"	"IIICBR"
"Arm01"	"Tneg_pai_ES04_Arm01"	"negatif"	"NA"	"NA"	"IIICBR"
"Arm03"	"Ban4_2"	"real"	"marin"	"NA"	"IIICBR"
"Arm03"	"Ban4_2_500"	"real"	"marin"	"NA"	"IIICBR"
"Arm03"	"Tpos_Ali3a_Arm03"	"mock"	"terrestrial"	"Ali3"	"IIICBR"
"Arm03"	"Ban4_2_100"	"real"	"marin"	"NA"	"IIICBR"
"Arm03"	"Ban4_3_T1"	"real"	"marin"	"NA"	"IIICBR"
"Arm03"	"Ban4_3_T2"	"real"	"marin"	"NA"	"IIICBR"
"Arm03"	"Ban4_3_T3"	"real"	"marin"	"NA"	"IIICBR"
"Arm03"	"Ban4_3_T4"	"real"	"marin"	"NA"	"IIICBR"
"Arm03"	"Ban4_3_T5"	"real"	"marin"	"NA"	"IIICBR"
"Arm03"	"Ban4_3_T6"	"real"	"marin"	"NA"	"IIICBR"
"Arm03"	"Ban4_3_T7"	"real"	"marin"	"NA"	"IIICBR"
"Arm03"	"Ban4_3_T8"	"real"	"marin"	"NA"	"IIICBR"
"Arm03"	"Ban4_3_T9"	"real"	"marin"	"NA"	"IIICBR"
"Arm03"	"Ban4_3_B2"	"real"	"marin"	"NA"	"IIICBR"
"Arm03"	"Ban4_3_B3"	"real"	"marin"	"NA"	"IIICBR"
"Arm03"	"Ban4_3_B4"	"real"	"marin"	"NA"	"IIICBR"
"Arm03"	"Ban4_3_B5"	"real"	"marin"	"NA"	"IIICBR"
"Arm03"	"Ban4_3_B6"	"real"	"marin"	"NA"	"IIICBR"
